2024-11-14 13:28:41,767 - INFO - number of parameters: 16.52M
2024-11-14 13:29:27,737 - INFO - Change 1: Shape of q: torch.Size([8, 8, 485, 64]), Shape of k: torch.Size([8, 2, 485, 64]), Shape of v: torch.Size([8, 2, 485, 64])
2024-11-14 13:29:28,492 - INFO - Change 1: Shape of q: torch.Size([8, 8, 485, 64]), Shape of k: torch.Size([8, 2, 485, 64]), Shape of v: torch.Size([8, 2, 485, 64])
2024-11-14 13:29:29,181 - INFO - Change 1: Shape of q: torch.Size([8, 8, 485, 64]), Shape of k: torch.Size([8, 2, 485, 64]), Shape of v: torch.Size([8, 2, 485, 64])
2024-11-14 13:29:29,873 - INFO - Change 1: Shape of q: torch.Size([8, 8, 485, 64]), Shape of k: torch.Size([8, 2, 485, 64]), Shape of v: torch.Size([8, 2, 485, 64])
2024-11-14 13:29:30,499 - INFO - Change 1: Shape of q: torch.Size([8, 8, 485, 64]), Shape of k: torch.Size([8, 2, 485, 64]), Shape of v: torch.Size([8, 2, 485, 64])
2024-11-14 13:29:31,141 - INFO - Change 1: Shape of q: torch.Size([8, 8, 485, 64]), Shape of k: torch.Size([8, 2, 485, 64]), Shape of v: torch.Size([8, 2, 485, 64])
2024-11-14 13:29:43,865 - INFO - Change 1: Shape of q: torch.Size([8, 8, 236, 64]), Shape of k: torch.Size([8, 2, 236, 64]), Shape of v: torch.Size([8, 2, 236, 64])
2024-11-14 13:29:44,212 - INFO - Change 1: Shape of q: torch.Size([8, 8, 236, 64]), Shape of k: torch.Size([8, 2, 236, 64]), Shape of v: torch.Size([8, 2, 236, 64])
2024-11-14 13:29:44,520 - INFO - Change 1: Shape of q: torch.Size([8, 8, 236, 64]), Shape of k: torch.Size([8, 2, 236, 64]), Shape of v: torch.Size([8, 2, 236, 64])
2024-11-14 13:29:44,775 - INFO - Change 1: Shape of q: torch.Size([8, 8, 236, 64]), Shape of k: torch.Size([8, 2, 236, 64]), Shape of v: torch.Size([8, 2, 236, 64])
2024-11-14 13:29:45,047 - INFO - Change 1: Shape of q: torch.Size([8, 8, 236, 64]), Shape of k: torch.Size([8, 2, 236, 64]), Shape of v: torch.Size([8, 2, 236, 64])
2024-11-14 13:29:45,312 - INFO - Change 1: Shape of q: torch.Size([8, 8, 236, 64]), Shape of k: torch.Size([8, 2, 236, 64]), Shape of v: torch.Size([8, 2, 236, 64])
2024-11-14 13:29:51,094 - INFO - Change 1: Shape of q: torch.Size([8, 8, 187, 64]), Shape of k: torch.Size([8, 2, 187, 64]), Shape of v: torch.Size([8, 2, 187, 64])
2024-11-14 13:29:51,332 - INFO - Change 1: Shape of q: torch.Size([8, 8, 187, 64]), Shape of k: torch.Size([8, 2, 187, 64]), Shape of v: torch.Size([8, 2, 187, 64])
2024-11-14 13:29:51,513 - INFO - Change 1: Shape of q: torch.Size([8, 8, 187, 64]), Shape of k: torch.Size([8, 2, 187, 64]), Shape of v: torch.Size([8, 2, 187, 64])
2024-11-14 13:29:51,707 - INFO - Change 1: Shape of q: torch.Size([8, 8, 187, 64]), Shape of k: torch.Size([8, 2, 187, 64]), Shape of v: torch.Size([8, 2, 187, 64])
2024-11-14 13:29:51,903 - INFO - Change 1: Shape of q: torch.Size([8, 8, 187, 64]), Shape of k: torch.Size([8, 2, 187, 64]), Shape of v: torch.Size([8, 2, 187, 64])
2024-11-14 13:29:52,147 - INFO - Change 1: Shape of q: torch.Size([8, 8, 187, 64]), Shape of k: torch.Size([8, 2, 187, 64]), Shape of v: torch.Size([8, 2, 187, 64])
2024-11-14 13:29:56,633 - INFO - Change 1: Shape of q: torch.Size([8, 8, 328, 64]), Shape of k: torch.Size([8, 2, 328, 64]), Shape of v: torch.Size([8, 2, 328, 64])
2024-11-14 13:29:57,026 - INFO - Change 1: Shape of q: torch.Size([8, 8, 328, 64]), Shape of k: torch.Size([8, 2, 328, 64]), Shape of v: torch.Size([8, 2, 328, 64])
2024-11-14 13:29:57,491 - INFO - Change 1: Shape of q: torch.Size([8, 8, 328, 64]), Shape of k: torch.Size([8, 2, 328, 64]), Shape of v: torch.Size([8, 2, 328, 64])
2024-11-14 13:29:58,022 - INFO - Change 1: Shape of q: torch.Size([8, 8, 328, 64]), Shape of k: torch.Size([8, 2, 328, 64]), Shape of v: torch.Size([8, 2, 328, 64])
2024-11-14 13:29:58,428 - INFO - Change 1: Shape of q: torch.Size([8, 8, 328, 64]), Shape of k: torch.Size([8, 2, 328, 64]), Shape of v: torch.Size([8, 2, 328, 64])
2024-11-14 13:29:58,862 - INFO - Change 1: Shape of q: torch.Size([8, 8, 328, 64]), Shape of k: torch.Size([8, 2, 328, 64]), Shape of v: torch.Size([8, 2, 328, 64])
2024-11-14 13:30:05,709 - INFO - Change 1: Shape of q: torch.Size([8, 8, 154, 64]), Shape of k: torch.Size([8, 2, 154, 64]), Shape of v: torch.Size([8, 2, 154, 64])
2024-11-14 13:30:05,870 - INFO - Change 1: Shape of q: torch.Size([8, 8, 154, 64]), Shape of k: torch.Size([8, 2, 154, 64]), Shape of v: torch.Size([8, 2, 154, 64])
2024-11-14 13:30:05,999 - INFO - Change 1: Shape of q: torch.Size([8, 8, 154, 64]), Shape of k: torch.Size([8, 2, 154, 64]), Shape of v: torch.Size([8, 2, 154, 64])
2024-11-14 13:30:06,126 - INFO - Change 1: Shape of q: torch.Size([8, 8, 154, 64]), Shape of k: torch.Size([8, 2, 154, 64]), Shape of v: torch.Size([8, 2, 154, 64])
2024-11-14 13:30:06,264 - INFO - Change 1: Shape of q: torch.Size([8, 8, 154, 64]), Shape of k: torch.Size([8, 2, 154, 64]), Shape of v: torch.Size([8, 2, 154, 64])
2024-11-14 13:30:06,401 - INFO - Change 1: Shape of q: torch.Size([8, 8, 154, 64]), Shape of k: torch.Size([8, 2, 154, 64]), Shape of v: torch.Size([8, 2, 154, 64])
2024-11-14 13:30:09,563 - INFO - Change 1: Shape of q: torch.Size([8, 8, 257, 64]), Shape of k: torch.Size([8, 2, 257, 64]), Shape of v: torch.Size([8, 2, 257, 64])
2024-11-14 13:30:09,807 - INFO - Change 1: Shape of q: torch.Size([8, 8, 257, 64]), Shape of k: torch.Size([8, 2, 257, 64]), Shape of v: torch.Size([8, 2, 257, 64])
2024-11-14 13:30:10,040 - INFO - Change 1: Shape of q: torch.Size([8, 8, 257, 64]), Shape of k: torch.Size([8, 2, 257, 64]), Shape of v: torch.Size([8, 2, 257, 64])
2024-11-14 13:30:10,276 - INFO - Change 1: Shape of q: torch.Size([8, 8, 257, 64]), Shape of k: torch.Size([8, 2, 257, 64]), Shape of v: torch.Size([8, 2, 257, 64])
2024-11-14 13:30:10,517 - INFO - Change 1: Shape of q: torch.Size([8, 8, 257, 64]), Shape of k: torch.Size([8, 2, 257, 64]), Shape of v: torch.Size([8, 2, 257, 64])
2024-11-14 13:30:10,767 - INFO - Change 1: Shape of q: torch.Size([8, 8, 257, 64]), Shape of k: torch.Size([8, 2, 257, 64]), Shape of v: torch.Size([8, 2, 257, 64])
2024-11-14 13:30:15,985 - INFO - Change 1: Shape of q: torch.Size([8, 8, 972, 64]), Shape of k: torch.Size([8, 2, 972, 64]), Shape of v: torch.Size([8, 2, 972, 64])
2024-11-14 13:30:17,877 - INFO - Change 1: Shape of q: torch.Size([8, 8, 972, 64]), Shape of k: torch.Size([8, 2, 972, 64]), Shape of v: torch.Size([8, 2, 972, 64])
2024-11-14 13:30:20,043 - INFO - Change 1: Shape of q: torch.Size([8, 8, 972, 64]), Shape of k: torch.Size([8, 2, 972, 64]), Shape of v: torch.Size([8, 2, 972, 64])
2024-11-14 13:30:22,008 - INFO - Change 1: Shape of q: torch.Size([8, 8, 972, 64]), Shape of k: torch.Size([8, 2, 972, 64]), Shape of v: torch.Size([8, 2, 972, 64])
2024-11-14 13:30:23,975 - INFO - Change 1: Shape of q: torch.Size([8, 8, 972, 64]), Shape of k: torch.Size([8, 2, 972, 64]), Shape of v: torch.Size([8, 2, 972, 64])
2024-11-14 13:30:26,087 - INFO - Change 1: Shape of q: torch.Size([8, 8, 972, 64]), Shape of k: torch.Size([8, 2, 972, 64]), Shape of v: torch.Size([8, 2, 972, 64])
2024-11-14 13:31:00,017 - INFO - Change 1: Shape of q: torch.Size([8, 8, 187, 64]), Shape of k: torch.Size([8, 2, 187, 64]), Shape of v: torch.Size([8, 2, 187, 64])
2024-11-14 13:31:00,327 - INFO - Change 1: Shape of q: torch.Size([8, 8, 187, 64]), Shape of k: torch.Size([8, 2, 187, 64]), Shape of v: torch.Size([8, 2, 187, 64])
2024-11-14 13:31:00,513 - INFO - Change 1: Shape of q: torch.Size([8, 8, 187, 64]), Shape of k: torch.Size([8, 2, 187, 64]), Shape of v: torch.Size([8, 2, 187, 64])
2024-11-14 13:31:00,693 - INFO - Change 1: Shape of q: torch.Size([8, 8, 187, 64]), Shape of k: torch.Size([8, 2, 187, 64]), Shape of v: torch.Size([8, 2, 187, 64])
2024-11-14 13:31:00,874 - INFO - Change 1: Shape of q: torch.Size([8, 8, 187, 64]), Shape of k: torch.Size([8, 2, 187, 64]), Shape of v: torch.Size([8, 2, 187, 64])
2024-11-14 13:31:01,052 - INFO - Change 1: Shape of q: torch.Size([8, 8, 187, 64]), Shape of k: torch.Size([8, 2, 187, 64]), Shape of v: torch.Size([8, 2, 187, 64])
2024-11-14 13:31:05,081 - INFO - Change 1: Shape of q: torch.Size([8, 8, 296, 64]), Shape of k: torch.Size([8, 2, 296, 64]), Shape of v: torch.Size([8, 2, 296, 64])
2024-11-14 13:31:05,398 - INFO - Change 1: Shape of q: torch.Size([8, 8, 296, 64]), Shape of k: torch.Size([8, 2, 296, 64]), Shape of v: torch.Size([8, 2, 296, 64])
